505;13:08:05:460;801.20;1236.62
506;13:08:15:460;891.10;1110.94
507;13:08:25:460;872.90;1134.37
508;13:08:35:460;914.90;1081.71
509;13:08:45:460;859.50;1152.12
510;13:08:55:460;842.20;1175.89
511;13:09:05:460;895.10;1105.96
512;13:09:15:460;856.20;1156.56
513;13:09:25:460;901.10;1098.47
514;13:09:35:460;878.80;1126.72
515;13:09:45:460;913.60;1083.29
516;13:09:55:460;881.60;1123.00
517;13:10:05:460;880.00;1125.12
518;13:10:15:460;828.10;1196.20
519;13:10:25:460;809.70;1223.49
520;13:10:35:460;796.00;1244.79
521;13:10:45:460;829.90;1193.70
522;13:10:55:460;828.40;1195.79
523;13:11:05:460;799.10;1240.05
524;13:11:15:460;795.10;1246.20
525;13:11:25:460;793.70;1248.66
526;13:11:35:460;877.50;1128.31
527;13:11:45:460;839.40;1180.08
528;13:11:55:460;851.40;1163.10
529;13:12:05:460;817.00;1212.81
530;13:12:15:460;805.80;1229.48
531;13:12:25:460;849.40;1166.01
532;13:12:35:460;844.90;1172.13
533;13:12:45:460;796.20;1244.51
534;13:12:55:460;798.50;1240.93
535;13:13:05:460;815.00;1215.66
536;13:13:15:460;835.40;1185.54
537;13:13:25:460;835.50;1185.54
538;13:13:35:460;846.00;1170.68
539;13:13:45:460;825.50;1199.89
540;13:13:55:460;837.80;1182.37
541;13:14:05:460;870.40;1137.53
542;13:14:15:460;856.60;1156.20
543;13:14:25:460;813.00;1218.60
544;13:14:35:460;852.00;1162.14
545;13:14:45:460;811.20;1221.20
546;13:14:55:460;795.70;1245.25
547;13:15:05:460;796.70;1243.77
548;13:15:15:460;803.90;1232.54
549;13:15:25:460;857.30;1154.99
550;13:15:35:460;829.90;1193.69
551;13:15:45:460;795.00;1246.44
552;13:15:55:460;806.30;1229.01
553;13:16:05:460;855.20;1157.96
554;13:16:15:460;819.30;1209.35
555;13:16:25:460;790.70;1253.45
556;13:16:35:460;794.50;1247.20
557;13:16:45:460;834.30;1187.25
558;13:16:55:460;803.20;1233.56
559;13:17:05:460;839.50;1179.92
560;13:17:15:460;833.30;1188.54
561;13:17:25:460;858.60;1153.38
562;13:17:35:460;805.40;1230.39
563;13:17:45:460;826.80;1198.10
564;13:17:55:460;885.40;1118.10
565;13:18:05:460;867.80;1141.21
566;13:18:15:460;818.50;1210.34
567;13:18:25:460;849.10;1165.81
568;13:18:35:460;872.20;1135.75
569;13:18:45:460;842.30;1175.88
570;13:18:55:460;802.00;1235.34
571;13:19:05:460;778.80;1272.67
572;13:19:15:460;805.30;1230.36
573;13:19:25:460;807.30;1227.34
574;13:19:35:460;808.10;1226.06
575;13:19:45:460;838.50;1181.21
576;13:19:55:460;797.70;1242.25
577;13:20:05:460;801.70;1236.03
578;13:20:15:460;809.70;1223.66
579;13:20:25:460;792.60;1250.45
580;13:20:35:460;792.00;1251.03
581;13:20:45:460;776.70;1276.14
582;13:20:55:460;823.40;1203.12
583;13:21:05:460;818.90;1209.78
584;13:21:15:460;808.10;1226.13
585;13:21:25:460;832.40;1189.82
586;13:21:35:459;822.30;1204.74
587;13:21:45:460;844.90;1172.31
588;13:21:55:460;815.30;1215.02
589;13:22:05:460;782.40;1264.45
590;13:22:15:460;782.12;1268.66
591;13:22:25:460;782.18;1267.37
592;13:22:35:460;787.60;1258.30
593;13:22:45:460;785.70;1261.36
594;13:22:55:460;868.90;1139.64
595;13:23:05:460;891.00;1111.02
596;13:23:15:460;795.60;1245.41
597;13:23:25:460;781.20;1268.66
598;13:23:35:460;831.50;1191.19
599;13:23:45:460;804.70;1231.39
600;13:23:55:460;736.80;1345.70
601;13:24:05:460;789.60;1254.98
602;13:24:15:460;785.50;1261.54
603;13:24:25:460;787.50;1258.36
604;13:24:35:460;787.90;1257.76
605;13:24:45:460;799.40;1239.41
606;13:24:55:460;854.10;1159.58
607;13:25:05:460;851.20;1163.44
608;13:25:15:460;853.20;1160.80
609;13:25:25:460;835.10;1185.70
610;13:25:35:460;893.20;1108.66
611;13:25:45:460;791.60;1251.82
612;13:25:55:460;794.00;1247.96
613;13:26:05:460;863.10;1147.31
614;13:26:15:460;871.70;1135.94
615;13:26:25:460;867.10;1142.05
616;13:26:35:460;808.90;1224.93
617;13:26:45:460;847.20;1168.58
618;13:26:55:460;854.40;1159.41
619;13:27:05:460;878.50;1127.12
620;13:27:15:460;850.90;1164.00
621;13:27:25:460;893.30;1108.15
622;13:27:35:460;885.20;1118.32
623;13:27:45:460;842.10;1176.32
624;13:27:55:460;866.30;1143.11
625;13:28:05:460;805.00;1230.74
626;13:28:15:460;833.60;1188.33
627;13:28:25:460;889.90;1112.55
628;13:28:35:460;856.90;1155.79
629;13:28:45:460;892.90;1108.65
630;13:28:55:460;841.20;1177.34
631;13:29:05:460;859.40;1152.39
632;13:29:15:460;848.50;1167.24
633;13:29:25:460;891.70;1110.16
634;13:29:35:460;857.20;1155.41
635;13:29:45:460;829.30;1194.43
636;13:29:55:460;860.10;1151.42
637;13:30:05:460;885.20;1118.55
638;13:30:15:460;872.10;1135.35
639;13:30:25:460;863.90;1146.05
640;13:30:35:460;856.60;1156.06
641;13:30:45:460;869.20;1139.18
642;13:30:55:460;904.90;1093.71
643;13:31:05:460;917.60;1078.52
644;13:31:15:460;899.70;1100.17
645;13:31:25:460;885.40;1118.15
646;13:31:35:460;847.30;1168.95
647;13:31:45:460;888.60;1114.03
648;13:31:55:460;903.70;1095.33
649;13:32:05:460;877.80;1127.90
650;13:32:15:460;889.40;1113.05
651;13:32:25:460;868.30;1140.56
652;13:32:35:460;852.00;1162.35
653;13:32:45:460;853.60;1159.94
654;13:32:55:460;854.20;1159.26
655;13:33:05:460;842.20;1174.91
656;13:33:15:460;816.90;1214.02
657;13:33:25:460;866.30;1142.91
658;13:33:35:460;858.10;1154.12
659;13:33:45:460;879.80;1125.42
660;13:33:55:460;862.10;1148.59
661;13:34:05:460;881.80;1122.74
662;13:34:15:460;904.30;1094.59
663;13:34:25:460;887.70;1115.31
664;13:34:35:460;860.70;1150.48
665;13:34:45:460;888.40;1114.21
666;13:34:55:460;858.90;1152.94
667;13:35:05:460;882.00;1122.51
668;13:35:15:460;812.00;1220.37
669;13:35:25:460;795.10;1246.37
670;13:35:35:460;844.10;1173.44
671;13:35:45:460;887.30;1115.67
672;13:35:55:460;858.60;1153.53
673;13:36:05:460;791.80;1251.58
674;13:36:15:460;831.90;1190.62
675;13:36:25:460;814.30;1216.79
676;13:36:35:460;810.80;1222.01
677;13:36:45:460;806.60;1228.21
678;13:36:55:460;850.80;1164.20
679;13:37:05:460;821.10;1206.46
680;13:37:15:460;870.80;1137.08
681;13:37:25:460;821.30;1206.27
682;13:37:35:460;818.50;1210.37
683;13:37:45:461;797.04;1243.20
684;13:37:55:460;805.56;1230.15
685;13:38:05:460;794.70;1246.82
686;13:38:15:460;809.00;1224.89
687;13:38:25:460;814.90;1215.75
688;13:38:35:460;837.00;1183.20
689;13:38:45:460;877.60;1128.13
690;13:38:55:460;874.30;1132.63
691;13:39:05:460;868.10;1140.63
692;13:39:15:460;854.60;1158.85
693;13:39:25:460;874.00;1132.96
694;13:39:35:460;908.10;1089.96
695;13:39:45:460;895.70;1105.09
696;13:39:55:460;898.30;1101.89
697;13:40:05:460;879.90;1125.09
698;13:40:15:460;899.10;1100.88
699;13:40:25:460;828.60;1195.61
700;13:40:35:460;828.80;1195.26
701;13:40:45:460;863.70;1146.48
702;13:40:55:460;875.90;1130.44
703;13:41:05:460;922.90;1072.30
704;13:41:15:460;862.20;1148.35
705;13:41:25:460;895.90;1104.91
706;13:41:35:460;892.60;1109.05
707;13:41:45:460;860.20;1151.16
708;13:41:55:460;887.80;1114.99
709;13:42:05:460;887.10;1115.69
710;13:42:15:460;893.70;1107.77
711;13:42:25:460;863.10;1147.40
712;13:42:35:460;879.40;1125.91
713;13:42:45:460;842.80;1175.14
714;13:42:55:460;831.60;1191.27
715;13:43:05:460;818.00;1211.05
716;13:43:15:460;869.80;1138.59
717;13:43:25:460;845.10;1171.82
718;13:43:35:460;901.90;1097.59
719;13:43:45:460;859.90;1151.52
720;13:43:55:460;835.70;1183.54
721;13:44:05:460;901.90;1099.39
722;13:44:15:460;884.00;1120.02
723;13:44:25:460;907.00;1091.20
724;13:44:35:460;887.90;1115.09
725;13:44:45:460;880.10;1124.93
726;13:44:55:460;881.20;1123.43
727;13:45:05:460;902.30;1097.00
728;13:45:15:460;821.80;1205.56
729;13:45:25:460;842.00;1176.25
730;13:45:35:460;892.50;1109.04
731;13:45:45:460;840.50;1178.41
732;13:45:55:460;819.70;1208.50
733;13:46:05:460;789.60;1254.85
